offset_seconds,apower
6,15.1
11,17.9
16,20.5
21,23.7
26,27
31,29.4
36,32.9
41,36.2
46,39
51,43
56,46
61,49.3
66,54.6
71,57.1
76,60.6
81,64.4
86,67.4
91,69.9
96,73.8
101,76.9
106,80.3
111,84
116,86.9
121,90.7
126,91.1
131,91.4
136,91.4
141,91.4
146,92.1
151,92.1
156,92.2
161,92.2
166,92.1
171,92.2
176,92.9
181,92.9
186,92.9
191,92.9
196,92.9
201,93
206,93
211,93.1
216,93.6
221,93.6
226,93.6
231,93.6
236,93.7
241,94.3
246,94.4
251,94.5
256,94.4
261,94.4
266,94.4
271,95
276,95.1
281,95.1
286,95.1
291,95.1
296,95.2
301,95.2
306,95.3
311,95.8
316,96
321,95.9
326,96
331,96
336,95.9
341,95.9
346,96
351,96
356,96
361,96.1
366,96.1
371,96
376,96.6
381,96.7
386,97.3
391,97.3
396,97.4
401,97.4
406,97.4
411,97.4
416,97.4
421,97.4
426,97.5
431,97.4
436,97.5
441,97.4
446,97.5
451,97.5
456,97.6
461,97.6
466,97.5
471,97.6
476,97.6
481,97.6
486,97.6
491,97.6
496,97.6
501,97.7
506,97.7
511,97.7
516,97.9
521,97.8
526,97.9
531,97.8
536,97.8
541,97.9
546,98.4
551,98.5
556,98.6
561,98.6
566,98.6
571,98.5
576,98.6
581,98.6
586,98.6
591,98.6
596,98.7
601,98.7
606,98.7
611,98.6
616,98.7
621,98.7
626,98.7
631,98.8
636,98.8
641,98.7
646,98.8
651,98.8
656,98.8
661,98.8
666,98.8
671,98.8
676,98.8
681,98.8
686,98.8
691,98.9
696,98.9
701,98.8
706,98.9
711,98.9
716,98.9
721,98.9
726,98.9
731,98.9
736,98.9
741,98.9
746,98.9
751,98.9
756,98.9
761,99
766,98.9
771,99
776,99
781,99
786,99
791,99
796,99
801,99
806,99
811,99
816,99
821,99
826,99
831,99
836,99
841,99.1
846,99.1
851,99.1
856,99.1
861,99.1
866,99.1
871,99.1
876,99.2
881,99.1
886,99.1
891,99.1
896,99.2
901,99.2
906,99.1
911,99.2
916,99.2
921,99.2
926,99.2
931,99.2
936,99.2
941,99.2
946,99.2
951,99.2
956,99.2
961,99.3
966,99.2
971,99.3
976,99.2
981,99.3
986,99.2
991,99.2
996,99.3
1001,99.2
1006,99.3
1011,99.3
1016,99.3
1021,99.3
1026,99.3
1031,99.3
1036,99.4
1041,99.3
1046,99.4
1051,99.3
1056,99.3
1061,99.4
1066,99.4
1071,99.4
1076,99.3
1081,99.4
1086,99.4
1091,99.5
1096,99.4
1101,99.4
1106,99.4
1111,99.5
1116,99.5
1121,99.5
1126,99.5
1131,99.5
1136,99.5
1141,99.6
1146,99.5
1151,99.5
1156,99.5
1161,99.5
1166,99.5
1171,99.4
1176,99.5
1181,99.5
1186,99.5
1191,99.5
1196,99.6
1201,99.7
1206,99.6
1211,99.5
1216,99.5
1221,99.5
1226,99.5
1231,99.6
1236,99.5
1241,99.6
1246,99.6
1251,99.5
1256,99.6
1261,99.5
1266,99.6
1271,99.6
1276,99.6
1281,99.6
1286,99.6
1291,99.6
1296,99.6
1301,99.6
1306,99.6
1311,99.6
1316,99.6
1321,99.6
1326,99.6
1331,99.5
1336,99.6
1341,99.5
1346,99.6
1351,100.3
1356,100.3
1361,100.2
1366,100.3
1371,100.3
1376,100.3
1381,100.3
1386,100.3
1391,100.4
1396,100.3
1401,100.4
1406,100.3
1411,100.4
1416,100.4
1421,100.3
1426,100.3
1431,100.3
1436,100.3
1441,100.5
1446,100.4
1451,100.5
1456,100.3
1461,100.4
1466,100.4
1471,100.4
1476,100.4
1481,100.4
1486,100.4
1491,100.4
1496,100.4
1501,100.4
1506,100.4
1511,100.4
1516,100.4
1521,100.5
1526,100.4
1531,100.5
1536,100.4
1541,100.4
1546,100.5
1551,100.5
1556,100.5
1561,100.4
1566,100.4
1571,100.5
1576,100.5
1581,100.5
1586,100.4
1591,100.4
1596,100.5
1601,100.5
1606,100.6
1611,100.5
1616,100.5
1621,100.5
1626,100.6
1631,100.5
1636,100.5
1641,100.5
1646,100.5
1651,100.5
1656,100.5
1661,100.5
1666,100.5
1671,100.6
1676,100.4
1681,100.6
1686,100.6
1691,100.5
1696,100.6
1701,100.5
1706,100.6
1711,100.6
1716,100.6
1721,100.6
1726,100.6
1731,100.5
1736,100.6
1741,100.6
1746,100.6
1751,100.6
1756,100.7
1761,100.6
1766,100.6
1771,100.5
1776,100.6
1781,100.7
1786,100.6
1791,100.6
1796,100.6
1801,100.6
1806,100.7
1811,100.6
1816,100.7
1821,100.8
1826,100.7
1831,100.7
1836,100.7
1841,100.7
1846,100.7
1851,101.3
1856,101.3
1861,101.3
1866,101.3
1871,101.3
1876,101.2
1881,101.3
1886,101.3
1891,101.3
1896,101.3
1901,101.3
1906,101.3
1911,101.4
1916,101.3
1921,101.3
1926,101.3
1931,101.3
1936,101.4
1941,101.3
1946,101.4
1951,101.3
1956,101.3
1961,101.3
1966,101.4
1971,101.4
1976,101.4
1981,101.4
1986,101.4
1991,101.4
1996,101.4
2001,101.4
2006,101.3
2011,101.4
2016,101.3
2021,101.4
2026,101.4
2031,102
2036,102
2041,102
2046,102
2051,102.1
2056,102.1
2061,102
2066,102
2071,102.1
2076,102.1
2081,102
2086,102.1
2091,102.1
2096,102.1
2101,102.1
2106,102
2111,102.1
2116,102.1
2121,102.1
2126,102
2131,102.1
2136,102.1
2141,102
2146,102.1
2151,102
2156,102.1
2161,102.1
2166,102.1
2171,102.1
2176,102
2181,102.2
2186,102.1
2191,102.1
2196,102.2
2201,102.1
2206,102.2
2211,102.1
2216,102.2
2221,102.1
2226,102.2
2231,102.2
2236,102.1
2241,102.1
2246,102.1
2251,102.2
2256,102.1
2261,102.2
2266,102.2
2271,102.1
2276,103.4
2281,103.4
2286,103.5
2291,103.5
2296,103.5
2301,103.5
2306,103.4
2311,103.5
2316,103.5
2321,103.5
2326,103.5
2331,103.5
2336,103.5
2341,103.4
2346,103.5
2351,103.5
2356,103.5
2361,103.5
2366,103.6
2371,103.6
2376,103.5
2381,103.5
2386,103.5
2391,103.6
2396,103.5
2401,103.6
2406,103.6
2411,103.6
2416,103.5
2421,103.6
2426,103.6
2431,103.6
2436,103.6
2441,103.6
2446,103.6
2451,103.6
2456,103.6
2461,103.6
2466,103.6
2471,103.6
2476,103.6
2481,103.6
2486,103.6
2491,103.6
2496,103.7
2501,103.6
2506,103.7
2511,103.6
2516,103.6
2521,103.7
2526,103.7
2531,103.7
2536,103.7
2541,103.7
2546,103.7
2551,103.7
2556,103.7
2561,103.7
2566,103.7
2571,103.8
2576,103.7
2581,103.7
2586,103.8
2591,103.7
2596,103.7
2601,103.8
2606,103.8
2611,103.8
2616,104.4
2621,104.4
2626,104.4
2631,104.4
2636,104.4
2641,104.4
2646,104.5
2651,104.4
2656,104.4
2661,104.4
2666,104.4
2671,104.5
2676,104.4
2681,104.4
2686,104.4
2691,104.4
2696,104.4
2701,104.4
2706,104.5
2711,104.5
2716,104.5
2721,104.5
2726,104.5
2731,104.5
2736,104.6
2741,105.1
2746,105.1
2751,105.1
2756,105.1
2761,105.1
2766,105.2
2771,105.1
2776,105.1
2781,105.2
2786,105.1
2791,105.1
2796,105.2
2801,105.2
2806,105.2
2811,105.1
2816,105.2
2821,105.2
2826,105.2
2831,105.2
2836,105.2
