offset_seconds,apower
1,27.2
4,5.7
6,5.3
7,5.3
8,5.4
10,35.3
11,42.1
12,42.2
13,41.2
14,41.2
15,41
17,38.8
19,38.8
21,39.6
23,41.7
24,41.4
25,41.8
27,41.6
28,41.6
30,41.6
32,41.3
34,41.1
36,41.1
38,39.3
39,35.2
40,39.1
41,39.6
42,40.4
43,40.9
44,40.6
46,34.5
47,34.4
48,34.3
49,41.9
51,42.8
52,42.7
54,42.1
55,38.4
57,40.1
58,40.9
60,39.9
63,39.7
65,39.2
67,38.9
69,39.5
70,39.1
72,42.9
74,42.6
75,42.5
76,36
78,35.3
79,39
81,39.1
82,39.4
84,39.3
85,39.4
87,39.4
89,39.2
90,39.2
91,39.1
93,39.2
95,39.2
97,39.3
98,39.3
99,39.1
100,39.2
102,39.4
104,39.3
105,39.3
107,38.8
108,38.8
110,38.9
112,39.1
114,38.9
115,38.9
117,39.4
119,39
120,39
122,39.3
124,39
125,39.1
127,39.1
129,39.2
130,39.2
132,39.3
133,39.3
135,39.2
136,39.3
138,39.4
139,39.3
141,39.5
142,39.5
143,39.6
145,39.4
147,39.5
148,39.5
150,39.6
151,39.5
152,39.5
153,39.7
154,39.6
155,39.6
156,39.6
158,39.6
160,39.7
162,39.8
163,39.9
164,39.8
165,40
166,40.1
168,39.8
169,40.6
171,40.5
173,40.8
174,40.6
176,40.7
177,40.6
179,40.5
180,40.6
182,40.6
184,40.6
185,40.6
186,40.6
188,40.1
190,40.1
192,40.2
193,40.3
194,40.1
195,40.2
197,40.1
198,40.3
200,40.3
201,40.3
203,40.4
204,40.3
206,40.4
207,40.3
208,40.4
210,40.4
211,40.4
213,40.4
215,40.4
216,40.6
217,40.4
218,40.4
220,40.5
221,40.5
223,40.7
225,40.5
227,40.6
228,40.6
230,40.6
231,41
233,42.1
234,41.9
236,39.5
237,39.4
238,39.7
240,39.2
241,39.3
242,39.2
244,39.3
246,39.3
247,39.2
248,39.1
250,39.2
251,39.2
253,39.6
254,38.9
256,38.9
258,38.9
259,38.9
260,38.9
261,38.9
263,39
264,39
266,39
268,39
270,39
272,39.1
273,39.1
275,39.2
276,39.1
277,39.2
279,39.2
281,39.2
283,39.2
284,39.3
285,39.2
286,39.2
288,39.3
289,39.3
290,39.3
292,39.3
294,39.4
295,39.4
297,39.3
298,39.4
300,39.4
302,39.6
303,39.5
305,39.5
307,39.5
309,39.6
310,39.6
311,39.6
312,39.7
313,39.6
315,39.7
316,39.7
318,39.7
320,39.8
321,39.8
322,39.7
323,39.8
324,39.8
325,39.8
327,39.9
328,39.9
329,39.9
330,39.9
332,40
333,39.9
334,39.9
336,40
337,40
339,40
341,40
342,40
344,40.1
346,40.1
348,40.5
349,40.5
350,40.4
352,40.2
354,40.2
355,40.3
356,40.3
358,40.3
359,41.2
362,41.3
363,41.3
365,41.1
367,40.9
368,41
370,41.1
371,41.1
372,40.9
374,41.1
376,40.9
377,40.9
379,41.2
381,41.2
383,40.6
385,40.7
386,40.7
388,40.7
389,40.7
390,40.7
391,40.8
393,41.3
394,41.3
396,42.4
398,41.8
399,41.8
401,41.8
402,41.5
404,41.6
406,41.7
408,41.6
410,41.5
411,41.6
413,41.6
414,41.7
416,41.7
417,41.5
419,41.1
420,41.1
422,41.2
423,41.2
424,41.2
426,41.3
428,41.3
429,41.3
430,41.2
432,41.3
433,41.3
434,41.4
436,41.4
437,41.4
439,41.4
441,41.5
442,41.5
444,41.5
445,41.5
446,41.5
448,41.6
449,41.6
450,41.6
452,41.6
453,41.6
454,41.6
455,41.7
458,42
459,41.9
461,42
463,41.7
465,41.7
466,41.7
467,41.7
469,41.7
471,41.7
472,41.8
474,41.7
476,41.7
477,41.6
479,41.7
480,41.7
481,41.7
483,41.7
484,41.7
485,41.6
487,41.7
488,41.7
489,41.8
490,41.8
492,41.7
494,41.7
495,41.7
497,42.6
498,43.2
500,40
501,39.7
502,39.8
503,39.8
505,40.4
506,40.3
508,39.6
510,39.6
511,39.7
513,39.6
515,39.7
517,39.6
519,39.9
520,39.7
521,39.7
522,39.7
523,39.8
525,39.2
526,39.2
528,39.4
530,39.4
532,39.4
534,39.4
535,39.3
536,39.4
538,39.4
539,39.4
541,39.5
542,39.5
543,39.5
545,39.5
546,39.5
547,39.5
548,39.5
550,39.6
552,39.6
554,39.7
556,39.7
557,39.7
558,39.7
560,39.8
562,39.8
564,39.8
565,39.7
566,39.8
568,39.8
569,39.8
571,39.9
572,39.9
573,39.9
575,40
577,39.9
578,40
579,40
581,40.1
582,40
583,40.1
585,41.2
587,40.6
589,40.1
590,40.1
592,40.2
594,40.2
595,40.2
596,40.2
598,40.3
599,40.3
600,40.2
602,40.3
604,40.4
605,40.4
606,40.4
608,40.5
610,40.4
611,40.5
612,40.5
614,40.5
615,40.5
616,40.4
617,40.5
618,40.5
620,40.5
621,40.6
622,40.6
624,40.7
625,40.7
627,40.7
628,40.6
630,40.7
632,40.7
633,40.7
634,40.8
635,40.8
636,40.7
637,40.8
639,40.8
641,40.8
643,40.8
644,40.9
646,40.9
647,41.2
649,41.2
650,41.3
651,41.1
652,41
653,41.1
655,41.1
656,41.1
658,41.1
659,41.1
660,41.2
662,41.2
664,41.1
665,41.2
666,41.1
668,41.3
669,41.3
671,41.3
672,41.3
673,41.3
674,41.3
675,41.4
677,41.4
678,41.4
680,41.4
682,41.3
684,41.4
685,41.5
687,41.4
689,41.7
690,41.6
691,41.6
693,41.5
695,41.6
696,41.6
698,41.6
699,41.7
701,41.7
703,42.2
704,42.2
706,41.9
707,42
708,41.9
710,41.8
712,41.8
714,41.8
715,41.9
716,42
718,41.9
719,41.9
720,41.9
721,41.9
722,42
724,42
725,41.9
727,42
728,42
729,42
731,42
733,42
734,42
735,42
737,42
738,42
740,42
742,41.9
743,42
744,42
745,42
747,42.1
748,42
750,42
752,42
754,42
755,42
757,42
759,42
760,42.1
762,42
764,42.1
765,42
767,42.1
769,42
770,42
772,42
773,42.1
774,42.1
