offset_seconds,apower
10,149.8
15,149.3
20,149.3
25,149.4
30,149.7
35,149.9
40,150.2
45,150.3
50,150.4
55,150.8
60,151
65,151.2
70,151.4
75,151.7
80,151.8
85,151.9
90,152.2
95,152.3
100,152.5
105,152.7
110,152.9
115,153
120,153.2
125,153.3
130,153.6
135,153.7
140,153.8
145,154
150,154.2
155,154.3
160,154.4
165,154.5
170,154.7
175,154.7
180,154.9
185,155
190,155.2
195,155.3
200,155.5
205,155.7
210,155.7
215,155.8
220,155.9
225,156.1
230,156.1
235,156.1
240,156.4
245,156.5
250,156.6
255,156.8
260,156.8
265,157
270,157
275,157.2
280,157.2
285,157.2
290,157.4
295,157.5
300,157.6
305,157.7
310,157.8
315,157.8
320,157.9
325,158
330,158.1
335,158.3
340,158.3
345,158.4
350,158.5
355,158.6
360,158.6
365,158.7
370,158.8
375,158.8
380,159
385,159
390,159.1
395,159.2
400,159.2
405,159.4
410,159.4
415,159.4
420,159.6
425,159.6
430,159.7
435,159.7
440,159.9
445,159.9
450,159.9
455,160.1
460,160.1
465,160.2
470,160.3
475,160.3
480,160.4
485,160.4
490,160.5
495,160.5
500,160.6
505,160.7
510,160.7
515,160.8
520,160.9
525,160.9
530,161
535,161
540,161
545,161.2
550,161.1
555,161.3
560,161.3
565,161.3
570,161.4
575,161.5
580,161.6
585,161.5
590,161.5
595,161.6
600,161.6
605,161.7
610,161.8
615,161.7
620,161.8
625,161.9
630,162
635,161.9
640,162
645,162
650,162.1
655,162.1
660,162.2
665,162.1
670,162.3
675,162.2
680,162.4
685,162.4
690,162.4
695,162.4
700,162.5
705,162.5
710,162.5
715,162.6
720,162.7
725,162.6
730,162.6
735,162.6
740,162.8
745,162.8
750,162.8
755,162.8
760,162.8
765,162.9
770,162.9
775,162.9
780,162.9
785,163
790,163
795,163.1
800,163.1
805,163.2
810,163.2
815,163.2
820,163.3
825,163.3
830,163.3
835,163.4
840,163.4
845,163.4
850,163.4
855,163.4
860,163.6
865,163.6
870,163.5
875,163.5
880,163.7
885,163.7
890,163.7
895,163.6
900,163.7
905,163.7
910,163.7
915,163.7
920,163.8
925,163.8
930,163.9
935,163.9
940,163.8
945,163.9
950,163.9
955,163.9
960,164
965,163.9
970,164
975,164
980,164.1
985,164.1
990,164.1
995,164
1000,164.2
1005,164.2
1010,164.2
1015,164.2
1020,164.3
1025,164.2
1030,164.2
1035,164.1
1040,164.3
1045,164.3
1050,164.4
1055,164.4
1060,164.5
1065,164.5
1070,164.4
1075,164.4
1080,164.5
1085,164.4
1090,164.4
1095,164.5
1100,164.5
1105,164.5
1110,164.5
1115,164.5
1120,164.6
1125,164.5
1130,164.6
1135,164.6
1140,164.6
1145,164.6
1150,164.7
1155,164.6
1160,164.8
1165,164.7
1170,164.7
1175,164.8
1180,164.8
1185,164.6
1190,164.7
1195,164.8
1200,164.7
1205,164.9
1210,164.8
1215,164.7
1220,164.9
1225,164.9
1230,164.9
1235,165
1240,164.9
1245,164.9
1250,165
1255,165
1260,164.9
1265,165
1270,164.9
1275,165
1280,165.1
1285,165
1290,165
1295,165.1
1300,165
1305,165.1
1310,165.1
1315,165.1
1320,165
1325,165
1330,165.1
1335,165.2
1340,165.2
1345,165.2
1350,165.2
1355,165.1
1360,165.3
1365,165.2
1370,165.3
1375,165.3
1380,165.3
1385,165.3
1390,165.4
1395,165.2
1400,165.3
1405,165.3
1410,165.4
1415,165.4
1420,165.5
1425,165.4
1430,165.3
1435,165.4
1440,165.5
1445,165.4
1450,165.4
1455,165.5
1460,165.4
1465,165.5
1470,165.6
1475,165.5
1480,165.6
1485,165.5
1490,165.5
1495,165.6
1500,165.6
1505,165.6
1510,165.6
1515,165.7
1520,165.6
1525,165.7
1530,165.7
1535,165.6
1540,165.7
1545,165.6
1550,165.7
1555,165.6
1560,165.7
1565,165.6
1570,165.7
1575,165.8
1580,165.7
1585,165.8
1590,165.8
1595,165.8
1600,165.8
1605,165.8
1610,165.8
1615,165.9
1620,165.9
1625,165.8
1630,165.9
1635,165.9
1640,165.9
1645,165.9
1650,165.9
1655,165.9
1660,166
1665,165.9
1670,166
1675,166
1680,166
1685,166.1
1690,166.1
1695,166
1700,166.1
1705,166.1
1710,166
1715,166.1
1720,166.1
1725,166.1
1730,166.1
1735,166.2
1740,166.1
1745,166.1
1750,166.2
1755,166.3
1760,166.3
1765,166.3
1770,166.1
1775,166.2
1780,166.3
1785,166.2
1790,166.3
1795,166.2
1800,166.3
1805,166.3
1810,166.2
1815,166.4
1820,166.4
1825,166.3
1830,166.4
1835,166.4
1840,166.5
1845,166.4
1850,166.4
1855,166.4
1860,166.4
1865,166.5
1870,166.5
1875,166.7
1880,166.7
1885,166.6
1890,166.5
1895,166.6
1900,166.5
1905,166.6
1910,166.7
1915,166.7
1920,166.6
1925,166.6
1930,166.7
1935,166.8
1940,166.6
1945,166.7
1950,166.7
1955,166.8
1960,166.8
1965,166.9
1970,166.8
1975,166.8
1980,166.9
1985,166.9
1990,166.8
1995,166.9
2000,166.9
2005,166.9
2010,166.9
2015,167
2020,167
2025,167
2030,167
2035,166.9
2040,167
2045,166.9
2050,166.9
2055,167
2060,167.1
2065,167
2070,167.1
2075,167.2
2080,167
2085,167
2090,167.1
2095,167.1
2100,167.2
2105,167.1
2110,167.1
2115,167.2
2120,167.2
2125,167.2
2130,167.2
2135,167.2
2140,167.3
2145,167.2
2150,167.2
2155,167.3
2160,167.3
2165,167.3
2170,167.3
2175,167.3
2180,167.3
2185,167.4
2190,167.3
2195,167.3
2200,167.3
2205,167.4
2210,167.5
2215,167.4
2220,167.4
2225,167.3
2230,167.4
2235,167.5
2240,167.5
2245,167.4
2250,167.6
2255,167.6
2260,167.5
2265,167.5
2270,167.7
2275,167.6
2280,167.7
2285,167.6
2290,167.6
2295,167.7
2300,167.7
2305,167.6
2310,167.7
2315,167.7
2320,167.7
2325,167.8
2330,167.8
2335,167.8
2340,167.8
2345,167.8
2350,167.9
2355,167.9
2360,167.9
2365,167.9
2370,168.1
2375,168
2380,168
2385,168
2390,168
2395,168
2400,168
2405,168
2410,168.1
2415,168.1
2420,168.2
2425,168.2
2430,168.1
2435,168.1
2440,168.2
2445,168.2
2450,168.1
2455,168.2
2460,168.2
2465,168.2
2470,168.3
2475,168.3
2480,168.2
2485,168.3
2490,168.3
2495,168.4
2500,168.4
2505,168.3
2510,168.3
2515,168.4
2520,168.4
2525,168.4
2530,168.4
2535,168.5
2540,168.4
2545,168.6
2550,168.4
2555,168.6
2560,168.6
2565,168.5
2570,168.5
2575,168.5
2580,168.7
2585,168.6
2590,168.5
2595,168.6
2600,168.7
2605,168.6
2610,168.7
2615,168.7
2621,168.7
2625,168.7
2630,168.8
2635,168.8
2640,168.8
2645,168.7
2650,168.8
2655,168.8
2661,168.9
2665,168.9
2670,168.9
2675,168.9
2680,168.9
2685,168.9
2690,169.1
2695,169
2700,168.9
2705,168.9
2710,169
2715,169.1
2720,169.1
2725,169.1
2730,169.1
2735,169.1
2740,169.2
2745,169.1
2750,169.2
2755,169.2
2760,169.2
2765,169.2
2770,169.2
