offset_seconds,apower
7,0
17,15.9
22,17.5
27,17.5
32,17.4
37,17.4
42,17.5
47,17.4
52,17.4
57,17.4
62,17.4
67,17.4
72,17.4
77,17.4
82,17.4
87,17.5
92,17.4
97,17.4
102,17.5
107,17.5
112,17.4
117,17.5
122,17.5
127,17.4
132,17.4
137,17.4
142,17.5
147,17.4
152,17.4
157,17.4
162,17.4
167,17.4
172,17.4
177,17.5
182,17.5
187,17.4
192,17.4
197,17.4
202,17.4
207,17.4
212,17.4
217,17.4
222,17.4
227,17.4
232,17.5
237,17.4
242,17.5
247,17.4
252,17.5
257,17.4
262,17.3
267,17.3
272,17.4
277,17.4
282,17.5
287,17.5
292,17.4
297,17.4
302,17.4
307,17.5
312,17.5
317,17.4
322,17.4
327,17.4
332,17.4
337,17.4
342,17.4
347,17.4
352,17.5
357,17.4
362,17.4
367,17.4
372,17.4
377,17.4
382,17.5
387,17.3
392,17.5
397,17.4
402,17.5
407,17.4
412,17.5
417,17.5
422,17.4
427,17.4
432,17.4
437,17.5
442,17.4
447,17.4
452,17.4
457,17.4
462,17.3
467,17.5
472,17.4
477,17.4
482,17.4
487,17.4
492,17.4
497,17.4
502,17.4
507,17.5
512,17.4
517,17.4
522,17.4
527,17.5
532,17.4
537,17.4
543,17.5
547,17.5
552,17.5
557,17.4
562,17.4
567,17.5
572,17.4
577,17.4
582,17.4
587,17.5
592,17.5
597,17.5
602,17.5
607,17.4
612,17.4
617,17.5
622,17.5
627,17.5
632,17.5
637,17.4
642,17.4
647,17.5
652,17.5
657,17.4
662,17.5
667,17.6
672,17.6
677,17.5
682,17.5
687,17.5
692,17.5
698,17.5
702,17.4
707,17.4
712,17.5
717,17.5
722,17.6
727,17.5
732,17.5
737,17.5
742,17.5
747,17.5
752,17.5
757,17.5
762,17.5
767,17.4
772,17.5
777,17.5
782,17.5
787,17.5
792,17.5
797,17.6
802,17.4
807,17.5
812,17.6
817,17.6
822,17.4
827,17.5
832,17.5
837,17.6
842,17.5
847,17.5
852,17.4
857,17.6
862,17.5
867,17.5
872,17.6
877,17.5
882,17.5
887,17.5
892,17.5
897,17.5
902,17.5
907,17.5
